NUTS3;Number of heating days;Average temperature during heating period;Number SFH;Number MFH;Appartment per SFH;Appartment per MFH;SHD_SFH;SHD_MFH;HWD_SFH;HWD_MFH;OTH_SFH;OTH_MFH
DEA51;197;5,509581218;33182;25270;1,279036827;6,031519588;20606,34361;52558,84712;1612,072962;6031,519588;6448,291847;18094,55877
DEA52;197;5,509581218;57172;37110;1,227838802;6,337092428;19567,63387;54476,50403;1547,543974;6337,092428;6190,175896;19011,27728
DEA53;197;5,509581218;17937;12357;1,275185371;6,387108521;20500,06903;55616,57488;1607,218662;6387,108521;6428,874647;19161,32556
DEA54;197;5,509581218;30033;8604;1,228248926;5,682763831;19298,28124;48833,66177;1548,060886;5682,763831;6192,243545;17048,29149
DEA55;197;5,509581218;13612;10968;1,272112842;6,047273888;20645,14109;54043,05259;1603,346106;6047,273888;6413,384424;18141,82166
DEA56;238;4,198932073;44945;19929;1,299566136;5,798635155;24805,70168;60222,12886;1637,947701;5798,635155;6551,790803;17395,90546
DEA57;238;4,198932073;62125;10533;1,316394366;5,228852179;24904,81232;53691,33338;1659,157672;5228,852179;6636,630688;15686,55654
DEA58;238;4,198932073;72928;21817;1,318300241;5,500893798;25124,77329;56925,62006;1661,5598;5500,893798;6646,239199;16502,6814
DEA59;238;4,198932073;32244;4251;1,337861308;4,972124206;24753,07419;49821,69127;1686,214184;4972,124206;6744,856738;14916,37262
DEA5A;238;4,198932073;66218;9363;1,3188559;5,442699989;25315,70352;56629,06895;1662,260141;5442,699989;6649,040565;16328,09997
DEA5B;238;4,198932073;69090;10732;1,248429585;5,235184495;23049,91793;52418,76219;1573,496193;5235,184495;6293,984771;15705,55348
DEA5C;197;5,509581218;73396;19363;1,239713336;5,509735062;19156,34628;46234,15433;1562,510404;5509,735062;6250,041614;16529,20519
DE711;180;5,719675926;15583;7986;1,231277674;6,628224393;17974,16848;52236,23621;1551,878261;6628,224393;6207,513044;19884,67318
DE712;180;5,719675926;38275;39177;1,213690398;7,264747173;17937,7312;58573,33793;1529,711603;7264,747173;6118,846412;21794,24152
DE713;238;4,198932073;7735;6081;1,284421461;7,173737872;25503,66628;77289,27723;1618,859649;7173,737872;6475,438594;21521,21362
DE714;180;5,719675926;25198;14685;1,227200571;7,082601294;17825,99571;55643,81567;1546,73956;7082,601294;6186,958242;21247,80388
DE715;180;5,719675926;59144;9622;1,295718923;5,360787778;18262,85364;40778,45344;1633,098749;5360,787778;6532,394995;16082,36333
DE716;238;4,198932073;64629;10240;1,267341286;5,353955078;23535,31696;53704,11755;1597,332131;5353,955078;6389,328525;16061,86523
DE717;238;4,198932073;45735;10125;1,267825517;5,993333333;23920,34962;60846,92208;1597,942445;5993,333333;6391,769782;17980
DE718;233;3,723444206;45051;9029;1,195223191;6,067006313;21798,15415;59557,15279;1506,435897;6067,006313;6025,743588;18201,01894
DE719;238;4,198932073;84329;15539;1,281718033;5,709279876;24041,04692;57728,89598;1615,452301;5709,279876;6461,809204;17127,83963
DE71A;238;4,198932073;41976;9103;1,203806937;6,156541799;22510,64718;61385,74469;1517,254682;6156,541799;6069,018729;18469,6254
DE71B;238;4,198932073;25079;3054;1,293990988;5,057629339;24272,38852;51519,59716;1630,920894;5057,629339;6523,683575;15172,88802
DE71C;201;4,648984245;55517;14909;1,255957635;5,977765108;19956,62874;50889,80447;1582,984399;5977,765108;6331,937598;17933,29532
DE71D;201;4,648984245;41664;7248;1,251464094;5,485789183;19706,10268;46765,69397;1577,320829;5485,789183;6309,283314;16457,36755
DE71E;233;3,723444206;67367;10733;1,256535099;5,469766142;23035,4711;54260,16126;1583,712224;5469,766142;6334,848896;16409,29843
DE721;233;3,723444206;52454;9892;1,291646014;5,827183583;23983,7775;58529,89366;1627,965333;5827,183583;6511,861333;17481,55075
DE722;233;3,723444206;66528;7218;1,251202501;5,329246329;23511,88953;54264,68646;1576,991122;5329,246329;6307,96449;15987,73899
DE723;233;3,723444206;46334;4822;1,2418958;4,8973455;22962,33355;49581,8397;1565,261139;4897,3455;6261,044555;14692,0365
DE724;201;4,648984245;53698;8202;1,278632351;5,613630822;20489,47157;48899,73726;1611,563168;5613,630822;6446,252673;16840,89247
